Sheet,State_Territory,Total_Transactions,Unprocessed_Transactions,Z_Total_Nonmatches,Total_Matches,X_Single_Match_Alive,Y_Single_Match_Deceased,V_Multiple_Match_Alive,T_Multiple_Match_Deceased,W_Multiple_Match_Mixed,PercentNonMatch,PercentMatchDeceased,Year,Date,DayOfYear,ISOyear,ISOweek
2015-03-21,California,10931,0,10450,481,474,7,0,0,0,95.6,1.455,2015,2015-03-21,80,2015,12
2015-03-21,Colorado,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-21,80,2015,12
2015-03-21,Connecticut,83,0,20,63,63,0,0,0,0,24.096,0,2015,2015-03-21,80,2015,12
2015-03-21,Delaware,1,0,1,0,0,0,0,0,0,100,NA,2015,2015-03-21,80,2015,12
2015-03-21,District Of Columbia,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-21,80,2015,12
2015-03-21,Florida,848,0,254,594,594,0,0,0,0,29.953,0,2015,2015-03-21,80,2015,12
2015-03-21,Georgia,313,0,59,254,254,0,0,0,0,18.85,0,2015,2015-03-21,80,2015,12
2015-03-21,Hawaii,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-21,80,2015,12
2015-03-21,Idaho,324,0,64,260,228,31,1,0,0,19.753,11.923,2015,2015-03-21,80,2015,12
2015-03-21,Illinois,15073,0,4793,10280,10203,77,0,0,0,31.799,0.749,2015,2015-03-21,80,2015,12
2015-03-21,Indiana,4118,0,449,3669,3656,13,0,0,0,10.903,0.354,2015,2015-03-21,80,2015,12
2015-03-21,Iowa,137,0,35,102,99,3,0,0,0,25.547,2.941,2015,2015-03-21,80,2015,12
2015-03-21,Kansas,91,0,17,74,72,2,0,0,0,18.681,2.703,2015,2015-03-21,80,2015,12
2015-03-21,Kentucky,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-21,80,2015,12
2015-03-21,Louisiana,103,0,23,80,80,0,0,0,0,22.33,0,2015,2015-03-21,80,2015,12
2015-03-21,Maine,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-21,80,2015,12
2015-03-21,Maryland,111,0,23,88,88,0,0,0,0,20.721,0,2015,2015-03-21,80,2015,12
2015-03-21,Massachusetts,442,0,119,323,323,0,0,0,0,26.923,0,2015,2015-03-21,80,2015,12
2015-03-21,Michigan,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-21,80,2015,12
